Date,Close,Open,High,Low,Volume,Net
2025/9/11,305.56,301.24,305.73,300.79,7.94M,1.67%
2025/9/10,300.54,296.7,301.54,295.4,7.79M,0.90%
2025/9/9,297.85,292.6,299,292.31,7.85M,1.69%
2025/9/8,292.91,294.89,296.46,291.44,8.19M,-0.50%
2025/9/5,294.38,303.65,305.15,294.31,9.84M,-3.11%
2025/9/4,303.82,300,304.43,298.28,6.61M,1.44%
2025/9/3,299.51,300.57,300.57,296.38,6.32M,-0.06%
2025/9/2,299.7,300.26,300.45,294.5,7.22M,-0.57%
2025/8/29,301.42,302.04,302.95,299.73,6.80M,0.12%
2025/8/28,301.07,300.02,301.24,298.7,6.41M,0.60%
2025/8/27,299.28,297.25,301.07,297.04,6.06M,0.24%
2025/8/26,298.57,294.16,298.74,293.5,6.71M,1.24%
2025/8/25,294.9,296.24,297.35,294.14,5.86M,-0.45%
2025/8/22,296.24,293.2,297.16,290.13,8.55M,1.64%
2025/8/21,291.47,291.94,292.77,289.47,6.62M,-0.26%
2025/8/20,292.24,290.81,293.33,287.27,7.37M,0.54%
2025/8/19,290.66,290.83,292.48,289.53,6.03M,-0.30%
2025/8/18,291.53,290,291.9,288.41,5.39M,0.36%
2025/8/15,290.49,294.84,295.5,289.82,7.34M,-1.25%
2025/8/14,294.16,290.58,294.2,289.64,6.32M,1.25%
2025/8/13,290.53,293.95,294.55,287.16,8.42M,-0.79%
2025/8/12,292.85,291.5,294.75,290.34,8.57M,1.14%
2025/8/11,289.56,289.4,291.32,288.78,5.51M,0.28%
2025/8/8,288.76,288.98,291.23,284.71,6.63M,0.63%
2025/8/7,286.94,292.94,293.46,286.41,8.06M,-1.51%
2025/8/6,291.35,292.3,293.29,290.16,6.33M,-0.01%
2025/8/5,291.37,294.69,295.79,287.24,7.18M,-0.98%
2025/8/4,294.26,290.26,294.32,290.26,6.65M,1.69%
2025/8/1,289.37,290.4,291.8,284.24,12.01M,-2.32%
2025/7/31,296.24,299.14,300.98,295.5,14.75M,-1.13%
2025/7/30,299.63,297.42,300.61,297.38,8.06M,0.87%
2025/7/29,297.04,300,301.29,296.2,7.64M,-0.42%
2025/7/28,298.28,297.66,299.43,296.82,5.84M,-0.11%
2025/7/25,298.62,296.7,298.9,295.95,5.92M,0.70%
2025/7/24,296.55,297.42,299.59,296.2,7.00M,-0.07%
2025/7/23,296.76,292.84,296.99,292.55,7.08M,1.83%
2025/7/22,291.43,291.5,293.63,289.18,6.72M,0.16%
2025/7/21,290.97,291,294.18,290.58,7.90M,-0.10%
2025/7/18,291.27,289.52,292.5,288.23,12.22M,0.47%
2025/7/17,289.9,283.44,290.3,283.44,8.51M,1.43%
2025/7/16,285.82,288.4,290.73,283.01,9.98M,-0.25%
2025/7/15,286.55,288,291.95,285.48,12.53M,-0.74%
2025/7/14,288.7,287.07,289.3,285.26,9.08M,0.64%
2025/7/11,286.86,285.52,287.38,283.65,7.38M,-0.46%
2025/7/10,288.19,283,288.31,283,8.41M,1.78%
2025/7/9,283.16,287.18,287.2,282.48,11.27M,0.13%
2025/7/8,282.78,289.27,289.7,280.31,15.44M,-3.15%
2025/7/7,291.97,295.25,296.04,290.08,8.83M,-1.36%
2025/7/3,296,292.15,296.4,291.21,6.54M,1.37%
2025/7/2,292,292.04,292.82,289.7,8.16M,0.55%
2025/7/1,290.41,290.89,291.13,286.59,9.34M,0.17%
2025/6/30,289.91,290.4,292.65,288.92,12.69M,0.98%
2025/6/27,287.11,285.81,288.7,285.04,17.87M,-0.57%
2025/6/26,288.75,284.7,289.41,284.47,8.94M,1.65%
2025/6/25,284.06,281.5,284.28,280.91,6.83M,1.00%
2025/6/24,281.26,280.21,282.71,279.51,9.27M,1.07%
2025/6/23,278.27,275.06,278.55,272.11,8.09M,1.19%
2025/6/20,275,275.57,277.3,273.81,13.97M,0.38%
2025/6/18,273.96,270,277.72,269.72,9.59M,1.65%
2025/6/17,269.52,268.17,270.59,267.8,6.74M,-0.31%
2025/6/16,270.36,267,271.73,266.85,8.57M,2.04%
2025/6/13,264.95,265.08,267.02,262.71,7.10M,-1.23%
2025/6/12,268.24,266.86,268.29,265.14,6.62M,0.03%
2025/6/11,268.15,268.68,269.62,265.79,7.43M,-0.17%
2025/6/10,268.6,265.88,268.9,265.85,7.54M,0.70%
2025/6/9,266.74,266,267.9,263.35,8.29M,0.38%
2025/6/6,265.73,264.33,266.65,264.26,7.74M,1.44%
2025/6/5,261.95,264.74,264.74,260.31,8.18M,-0.86%
2025/6/4,264.22,265.92,267.12,264.18,5.92M,-0.77%
2025/6/3,266.27,263.73,266.58,262.88,7.00M,0.61%
2025/6/2,264.66,263.02,265.03,261.9,6.01M,0.25%
2025/5/30,264,263.45,265.33,262.73,10.98M,-0.14%
2025/5/29,264.37,264.8,265.41,262.53,5.08M,0.33%
2025/5/28,263.49,266.24,266.72,262.9,5.54M,-0.68%
2025/5/27,265.29,262.04,265.3,261.99,7.51M,1.76%
2025/5/23,260.71,256.81,261.99,256,6.67M,0.02%
2025/5/22,260.67,259.44,262.3,258.87,6.51M,-0.14%
2025/5/21,261.04,264.35,265.65,260.73,7.46M,-1.75%
2025/5/20,265.68,262.52,266.66,262.3,8.44M,0.30%
2025/5/19,264.88,265.55,268.32,261.93,12.15M,-1.00%
2025/5/16,267.56,267.5,268.46,264.71,8.93M,0.03%
2025/5/15,267.49,266.97,269.52,264.76,9.21M,0.70%
2025/5/14,265.64,263,266.64,262.29,8.64M,1.00%
2025/5/13,263.01,261.03,263.67,260.39,8.59M,1.14%
2025/5/12,260.05,262.9,263.6,258.7,9.60M,2.75%
2025/5/9,253.08,254.5,255.51,252.34,5.09M,-0.15%
2025/5/8,253.47,251.57,255.88,251.55,8.32M,1.64%
2025/5/7,249.39,249.85,252.45,248.83,8.72M,0.06%
2025/5/6,249.25,250,252.65,249,6.37M,-1.31%
2025/5/5,252.56,251.18,255.16,250.59,5.45M,0.02%
2025/5/2,252.51,251.26,253.62,249.46,7.17M,2.28%
2025/5/1,246.89,242.84,248.45,242.17,8.69M,0.93%
2025/4/30,244.62,241.21,245.22,238.43,12.99M,0.00%
2025/4/29,244.62,242.19,245.25,241.69,7.22M,0.58%
2025/4/28,243.22,244.56,246.84,240.84,7.39M,-0.14%
2025/4/25,243.55,244.65,245.62,241.75,8.59M,-0.45%
2025/4/24,244.64,239.74,245.47,237.58,9.06M,1.56%
2025/4/23,240.88,240.22,246.79,240,14.13M,2.25%
2025/4/22,235.59,231.98,235.99,231.37,10.70M,2.88%
2025/4/21,228.99,230.63,231.81,226.34,8.72M,-1.28%
2025/4/17,231.96,230.8,234.34,230.55,9.56M,1.02%
2025/4/16,229.61,232,233.58,227.93,9.32M,-1.51%
2025/4/15,233.13,236.1,238.65,232.82,10.91M,-0.68%
2025/4/14,234.72,237.1,239.78,233.63,13.02M,-0.63%
2025/4/11,236.2,226.31,238.57,225,20.28M,4.00%
2025/4/10,227.11,230,230.35,220.1,18.90M,-3.09%
2025/4/9,234.34,212.5,237.48,211,24.02M,8.06%
2025/4/8,216.87,223.52,227.84,213.25,19.49M,1.13%
2025/4/7,214.44,205.77,222.05,202.16,22.91M,1.98%
2025/4/4,210.28,215.3,217.7,208.93,27.17M,-8.05%
2025/4/3,228.69,234.27,235.14,227.3,17.19M,-6.97%
2025/4/2,245.82,241.6,247.24,241.46,7.76M,0.89%
2025/4/1,243.66,242.62,245.69,240.88,8.05M,-0.67%
2025/3/31,245.3,239.41,245.86,237.36,13.60M,1.01%
2025/3/28,242.85,246.94,249.51,241.11,11.98M,-2.12%
2025/3/27,248.12,249.52,250.64,247.18,8.02M,-1.16%
2025/3/26,251.03,252.6,254.67,249.78,12.79M,-0.04%
2025/3/25,251.13,249.31,251.82,247.62,9.29M,1.24%
2025/3/24,248.06,245.48,248.69,244.41,9.42M,2.66%
2025/3/21,241.63,237.81,242.3,236.5,19.33M,1.10%
2025/3/20,239.01,236.56,241.76,236.2,8.33M,-0.04%
2025/3/19,239.11,235.74,242.33,234.89,10.12M,1.76%
2025/3/18,234.97,234.32,236.17,233.52,10.34M,0.44%
2025/3/17,233.93,231.18,235.67,230.46,9.59M,0.64%
2025/3/14,232.44,228.12,233.14,227.58,11.96M,3.22%
2025/3/13,225.19,229.3,229.5,224.23,16.47M,-1.19%
2025/3/12,227.9,234,234.32,227.26,16.05M,-0.54%
2025/3/11,229.14,231.74,233.32,226.69,18.14M,-1.33%
2025/3/10,232.22,236.21,237.51,228.7,18.89M,-4.15%
2025/3/7,242.28,245.23,246.72,239.42,20.50M,-1.73%
2025/3/6,246.54,248.11,249.36,243.85,9.98M,-1.98%
2025/3/5,251.53,251.25,253.05,247.83,7.86M,0.51%
2025/3/4,250.25,255.28,257.23,245.95,13.47M,-3.98%
2025/3/3,260.62,264,266.32,257.82,9.06M,-1.52%
2025/2/28,264.65,260.73,264.81,257.89,10.47M,2.16%
2025/2/27,259.05,260.18,263.64,257.86,8.20M,0.10%
2025/2/26,258.79,257.16,260.91,256.93,5.94M,0.54%
2025/2/25,257.4,262.23,263,253.35,9.61M,-1.51%
2025/2/24,261.34,265.49,267,258.61,10.37M,-1.10%
2025/2/21,264.24,268.32,269.2,262.84,12.84M,-0.96%
2025/2/20,266.8,278.67,278.74,265.73,13.85M,-4.46%
2025/2/19,279.25,278.38,280.25,277.22,7.01M,-0.25%
2025/2/18,279.95,276.76,279.97,276.02,7.92M,1.21%
2025/2/14,276.59,277.37,279.23,276.45,5.69M,0.10%
2025/2/13,276.32,275.5,276.97,273.81,8.40M,0.32%
2025/2/12,275.45,274.08,276.45,273.25,6.68M,0.17%
2025/2/11,274.99,270.26,276.22,269.66,7.20M,1.46%
2025/2/10,271.04,276.15,276.18,269.59,8.63M,-1.73%
2025/2/7,275.8,277.27,278.55,274.71,6.86M,-0.40%
2025/2/6,276.9,272.45,276.98,271.19,7.26M,2.39%
2025/2/5,270.43,268.91,270.64,268.33,5.70M,0.93%
2025/2/4,267.94,269.84,269.84,266.83,5.63M,0.42%
2025/2/3,266.81,261.83,268.17,261.7,8.38M,-0.18%
2025/1/31,267.3,269.23,270.82,266.96,7.20M,-0.35%
2025/1/30,268.23,268.63,269.7,266.62,8.75M,0.62%
2025/1/29,266.58,267.21,270.68,265.61,7.68M,-0.21%
2025/1/28,267.14,265.85,267.33,264.83,7.38M,0.49%
2025/1/27,265.85,264.17,265.97,262.26,7.52M,0.38%
2025/1/24,264.84,263.69,267.1,263.01,7.67M,-0.42%
2025/1/23,265.95,264.69,266.86,263.81,10.75M,1.18%
2025/1/22,262.84,262.9,263.38,260.25,9.02M,-0.07%
2025/1/21,263.03,260.07,264.25,259.5,13.71M,1.49%
2025/1/17,259.16,254.14,260.62,252.14,17.68M,1.92%
2025/1/16,254.27,254,257.04,252.33,15.29M,0.76%
2025/1/15,252.35,250.4,253.67,243.68,18.45M,1.97%
2025/1/14,247.47,242.66,247.72,242.19,12.41M,1.33%
2025/1/13,244.21,239.67,244.54,239,10.01M,1.81%
2025/1/10,239.87,243.09,243.81,238.74,10.26M,-1.34%
2025/1/8,243.13,242.75,244.25,240.5,8.68M,-0.02%
2025/1/7,243.17,242.14,245.26,240.9,8.75M,0.96%
2025/1/6,240.85,243.7,245.69,240.58,9.92M,-1.00%
2025/1/3,243.28,243.89,244.88,240.26,9.49M,1.37%
2025/1/2,240,240.92,243.28,239.45,9.22M,0.12%
2024/12/31,239.71,240.05,241.44,239.03,4.87M,0.16%
2024/12/30,239.32,238.77,240.84,237.11,5.72M,-0.77%
2024/12/27,241.17,242.72,243.39,240.04,5.73M,-0.81%
2024/12/26,243.14,241.43,243.26,240.79,4.45M,0.34%
2024/12/24,242.31,239.43,242.49,239.07,3.73M,1.64%
2024/12/23,238.39,236.07,238.62,234.88,8.61M,0.33%
2024/12/20,237.6,231.92,239.21,231.59,32.35M,1.99%
2024/12/19,232.96,232.27,236.36,232.27,11.79M,1.12%
