Date,Dividend,Dividend Yield
"10月 06, 2025",1.5,1.94%
"7月 03, 2025",1.4,1.92%
"4月 04, 2025",1.4,2.45%
"1月 06, 2025",1.25,2.06%
"10月 04, 2024",1.25,2.44%
"7月 05, 2024",1.15,2.20%
"4月 04, 2024",1.15,2.32%
"1月 04, 2024",1.05,2.45%
"10月 05, 2023",1.05,2.93%
"7月 05, 2023",1,2.73%
"4月 05, 2023",1,3.11%
"1月 05, 2023",1,2.93%
"10月 05, 2022",1,3.55%
"7月 05, 2022",1,3.51%
"4月 05, 2022",1,2.94%
"1月 05, 2022",1,2.38%
"10月 05, 2021",1,2.40%
"7月 02, 2021",0.9,2.29%
"4月 05, 2021",0.9,2.34%
"1月 05, 2021",0.9,2.86%
"10月 05, 2020",0.9,3.68%
"7月 02, 2020",0.9,3.86%
"4月 03, 2020",0.9,4.11%
"1月 03, 2020",0.9,2.55%
"10月 03, 2019",0.9,3.18%
"7月 03, 2019",0.8,2.81%
"4月 04, 2019",0.8,3.04%
"1月 03, 2019",0.8,3.22%
"10月 04, 2018",0.8,2.78%
"7月 05, 2018",0.56,2.16%
"4月 05, 2018",0.56,2.02%
"1月 04, 2018",0.56,2.07%
"10月 05, 2017",0.56,2.32%
"7月 03, 2017",0.5,2.19%
"4月 04, 2017",0.5,2.29%
"1月 04, 2017",0.48,2.20%
"10月 04, 2016",0.48,2.89%
"7月 01, 2016",0.48,3.09%
"4月 04, 2016",0.44,2.94%
"1月 04, 2016",0.44,2.67%
