"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2025","48.65","49.93","50.14","48.55","31.83M","-2.29%"
"10/09/2025","49.79","50.00","50.28","49.67","21.82M","-0.10%"
"10/08/2025","49.84","50.40","50.51","49.78","24.01M","-0.89%"
"10/07/2025","50.29","50.55","50.91","50.13","24.11M","-0.20%"
"10/06/2025","50.39","50.93","51.32","49.89","25.39M","-0.49%"
"10/03/2025","50.64","50.62","51.13","50.55","24.57M","0.32%"
"10/02/2025","50.48","50.65","50.85","50.07","22.76M","-0.39%"
"10/01/2025","50.68","51.30","51.67","50.56","27.71M","-1.76%"
"09/30/2025","51.59","52.48","52.56","51.01","29.94M","-1.58%"
"09/29/2025","52.42","52.36","52.55","52.11","23.70M","0.40%"
"09/26/2025","52.21","52.11","52.62","51.98","20.03M","0.69%"
"09/25/2025","51.85","51.48","52.33","51.44","22.96M","0.29%"
"09/24/2025","51.70","51.85","52.25","51.46","27.01M","0.00%"
"09/23/2025","51.70","52.00","52.88","51.51","28.28M","-0.42%"
"09/22/2025","51.92","51.76","52.35","51.76","27.47M","-0.63%"
"09/19/2025","52.25","52.15","52.66","51.76","98.97M","0.23%"
"09/18/2025","52.13","51.49","52.19","51.30","35.25M","1.42%"
"09/17/2025","51.40","50.86","51.63","50.79","38.34M","1.46%"
"09/16/2025","50.66","50.64","50.88","50.21","31.62M","0.14%"
"09/15/2025","50.59","50.85","51.09","50.46","29.04M","0.02%"
