Date,Open,High,Low,Close,Volume
1973/2/21,1.4496,1.4496,1.4496,1.4496,3886
1973/2/22,1.4545,1.4545,1.4545,1.4545,1849
1973/2/23,1.4496,1.4496,1.4496,1.4496,5234
1973/2/26,1.4496,1.4496,1.4496,1.4496,940
1973/2/27,1.4496,1.4496,1.4496,1.4496,1630
1973/2/28,1.4496,1.4496,1.4496,1.4496,2601
1973/3/1,1.4594,1.4594,1.4594,1.4594,3667
1973/3/2,1.4643,1.4643,1.4643,1.4643,1034
1973/3/5,1.4839,1.4839,1.4839,1.4839,2664
1973/3/6,1.528,1.528,1.528,1.528,3009
1973/3/7,1.528,1.528,1.528,1.528,2006
1973/3/8,1.5378,1.5378,1.5378,1.5378,3322
1973/3/9,1.5378,1.5378,1.5378,1.5378,3072
1973/3/12,1.5328,1.5328,1.5328,1.5328,2883
1973/3/13,1.5378,1.5378,1.5378,1.5378,1849
1973/3/14,1.5427,1.5427,1.5427,1.5427,1975
1973/3/15,1.5378,1.5378,1.5378,1.5378,2758
1973/3/16,1.5328,1.5328,1.5328,1.5328,1755
1973/3/19,1.5182,1.5182,1.5182,1.5182,1097
1973/3/20,1.4888,1.4888,1.4888,1.4888,2696
1973/3/21,1.4692,1.4692,1.4692,1.4692,3698
1973/3/22,1.4447,1.4447,1.4447,1.4447,2163
1973/3/23,1.4447,1.4447,1.4447,1.4447,4607
1973/3/26,1.4398,1.4398,1.4398,1.4398,376
1973/3/27,1.4398,1.4398,1.4398,1.4398,596
1973/3/28,1.4594,1.4594,1.4594,1.4594,5548
1973/3/29,1.479,1.479,1.479,1.479,4701
1973/3/30,1.479,1.479,1.479,1.479,3354
1973/4/2,1.4692,1.4692,1.4692,1.4692,2069
1973/4/3,1.4594,1.4594,1.4594,1.4594,909
1973/4/4,1.4496,1.4496,1.4496,1.4496,3072
1973/4/5,1.4447,1.4447,1.4447,1.4447,3072
1973/4/6,1.4447,1.4447,1.4447,1.4447,1410
1973/4/9,1.4447,1.4447,1.4447,1.4447,1097
1973/4/10,1.479,1.479,1.479,1.479,3479
1973/4/11,1.4888,1.4888,1.4888,1.4888,5642
1973/4/12,1.5084,1.5084,1.5084,1.5084,5516
1973/4/13,1.5084,1.5084,1.5084,1.5084,533
1973/4/16,1.5084,1.5084,1.5084,1.5084,1567
1973/4/17,1.4692,1.4692,1.4692,1.4692,3636
1973/4/18,1.4643,1.4643,1.4643,1.4643,1003
1973/4/19,1.4692,1.4692,1.4692,1.4692,1536
1973/4/23,1.4496,1.4496,1.4496,1.4496,1881
1973/4/24,1.4398,1.4398,1.4398,1.4398,5265
1973/4/25,1.43,1.43,1.43,1.43,2319
1973/4/26,1.43,1.43,1.43,1.43,1316
1973/4/27,1.4202,1.4202,1.4202,1.4202,1442
1973/4/30,1.4006,1.4006,1.4006,1.4006,3573
1973/5/1,1.3908,1.3908,1.3908,1.3908,11565
1973/5/2,1.3957,1.3957,1.3957,1.3957,2413
1973/5/3,1.3957,1.4104,1.3908,1.3908,2194
1973/5/4,1.4055,1.4251,1.4055,1.4055,1692
1973/5/7,1.4104,1.43,1.4104,1.4104,1661
1973/5/8,1.4153,1.4349,1.4153,1.4153,1128
1973/5/9,1.4545,1.4741,1.4545,1.4545,2288
1973/5/10,1.4888,1.5084,1.4888,1.4888,2758
1973/5/11,1.4937,1.5133,1.4937,1.4937,1034
1973/5/14,1.4594,1.4594,1.4398,1.4398,5924
1973/5/15,1.4398,1.4545,1.4349,1.4349,6394
1973/5/16,1.4643,1.4839,1.4643,1.4643,2946
1973/5/17,1.4643,1.4839,1.4643,1.4643,1066
1973/5/18,1.4643,1.4692,1.4496,1.4496,2319
1973/5/21,1.4496,1.4643,1.4447,1.4447,2382
1973/5/22,1.4594,1.479,1.4594,1.4594,3730
1973/5/23,1.4643,1.4839,1.4643,1.4643,1348
1973/5/24,1.4986,1.5182,1.4986,1.4986,2351
1973/5/25,1.5182,1.5378,1.5182,1.5182,4357
1973/5/29,1.528,1.5476,1.528,1.528,5673
1973/5/30,1.5231,1.5231,1.5035,1.5035,3542
1973/5/31,1.5035,1.5231,1.5035,1.5035,1410
1973/6/1,1.5035,1.5231,1.5035,1.5035,1849
1973/6/4,1.4545,1.4545,1.4349,1.4349,4670
1973/6/5,1.43,1.43,1.4104,1.4104,3980
1973/6/6,1.4104,1.4104,1.3908,1.3908,1254
1973/6/7,1.4006,1.4202,1.4006,1.4006,1222
1973/6/8,1.4055,1.4251,1.4055,1.4055,3855
1973/6/11,1.4104,1.43,1.4104,1.4104,2288
1973/6/12,1.4251,1.4447,1.4251,1.4251,5830
1973/6/13,1.43,1.4496,1.43,1.43,1598
1973/6/14,1.4398,1.4594,1.4398,1.4398,2100
1973/6/15,1.4398,1.4447,1.4251,1.4251,1692
1973/6/18,1.4202,1.4202,1.4006,1.4006,1222
1973/6/19,1.4006,1.4055,1.3859,1.3859,3260
1973/6/20,1.3859,1.3957,1.3761,1.3761,1191
1973/6/21,1.3761,1.3908,1.3712,1.3712,3071
1973/6/22,1.3712,1.3908,1.3712,1.3712,2288
1973/6/25,1.3664,1.3664,1.3468,1.3468,1818
1973/6/26,1.3565,1.3761,1.3565,1.3565,1724
1973/6/27,1.3565,1.3712,1.3516,1.3516,3542
1973/6/28,1.3516,1.3565,1.3369,1.3369,2257
1973/6/29,1.3419,1.3615,1.3419,1.3419,6269
1973/7/2,1.3516,1.3712,1.3516,1.3516,972
1973/7/3,1.3517,1.3664,1.3468,1.3468,1755
1973/7/5,1.3468,1.3615,1.3419,1.3419,972
1973/7/6,1.3419,1.3615,1.3419,1.3419,1473
1973/7/9,1.3516,1.3712,1.3516,1.3516,1661
1973/7/10,1.3615,1.3811,1.3615,1.3615,1285
1973/7/11,1.3663,1.3859,1.3663,1.3663,470
1973/7/12,1.3664,1.3811,1.3615,1.3615,940
1973/7/13,1.3712,1.3908,1.3712,1.3712,2319
1973/7/16,1.381,1.4006,1.381,1.381,658
1973/7/17,1.3908,1.4104,1.3908,1.3908,4325
1973/7/18,1.43,1.4496,1.43,1.43,5046
1973/7/19,1.5231,1.5427,1.5231,1.5231,6175
1973/7/20,1.5622,1.5818,1.5622,1.5622,13383
1973/7/23,1.5622,1.5671,1.5475,1.5475,4325
1973/7/24,1.5476,1.5574,1.5378,1.5378,3949
1973/7/25,1.5378,1.5574,1.5378,1.5378,1818
1973/7/26,1.5378,1.5574,1.5378,1.5378,3228
1973/7/27,1.5378,1.5476,1.528,1.528,2413
1973/7/30,1.528,1.5378,1.5182,1.5182,1003
1973/7/31,1.5182,1.5378,1.5182,1.5182,1222
1973/8/1,1.5182,1.5182,1.4986,1.4986,1849
1973/8/2,1.4937,1.4937,1.4741,1.4741,3166
1973/8/3,1.4741,1.4937,1.4741,1.4741,1881
1973/8/6,1.4741,1.4888,1.4692,1.4692,1630
1973/8/7,1.4692,1.4888,1.4692,1.4692,125
1973/8/8,1.4692,1.4741,1.4545,1.4545,2852
1973/8/9,1.4692,1.4888,1.4692,1.4692,1160
1973/8/10,1.4741,1.4937,1.4741,1.4741,1285
1973/8/13,1.4741,1.4888,1.4692,1.4692,752
1973/8/14,1.4692,1.4888,1.4692,1.4692,2100
1973/8/15,1.4692,1.4839,1.4643,1.4643,972
1973/8/16,1.4643,1.4839,1.4643,1.4643,1755
1973/8/17,1.479,1.4986,1.479,1.479,1160
1973/8/20,1.479,1.4986,1.479,1.479,2288
1973/8/21,1.479,1.4986,1.479,1.479,878
1973/8/22,1.479,1.479,1.4594,1.4594,2507
1973/8/23,1.4594,1.479,1.4594,1.4594,251
1973/8/24,1.4643,1.4839,1.4643,1.4643,690
1973/8/27,1.4692,1.4888,1.4692,1.4692,2257
1973/8/28,1.4888,1.5084,1.4888,1.4888,2006
1973/8/29,1.5084,1.528,1.5084,1.5084,6018
1973/8/30,1.5084,1.5084,1.4888,1.4888,1975
1973/8/31,1.4986,1.5182,1.4986,1.4986,972
1973/9/4,1.5035,1.5231,1.5035,1.5035,2100
1973/9/5,1.5035,1.5133,1.4937,1.4937,2602
1973/9/6,1.4986,1.5182,1.4986,1.4986,6018
1973/9/7,1.5182,1.5378,1.5182,1.5182,6300
1973/9/10,1.528,1.5476,1.528,1.528,4200
1973/9/11,1.528,1.528,1.5084,1.5084,2006
1973/9/12,1.5084,1.5231,1.5035,1.5035,815
1973/9/13,1.5084,1.528,1.5084,1.5084,2257
