Date,Open,High,Low,Close,Volume
1977/1/3,6.5963,6.6387,6.5963,6.6387,8136
1977/1/4,6.6387,6.6599,6.6175,6.6599,5806
1977/1/5,6.6599,6.6599,6.5963,6.6175,2617
1977/1/6,6.5962,6.5962,6.5114,6.575,6624
1977/1/7,6.5751,6.5963,6.5114,6.5963,3475
1977/1/10,6.5963,6.6811,6.5963,6.6599,7278
1977/1/11,6.6599,6.7023,6.6599,6.6811,3762
1977/1/12,6.6811,6.6811,6.5963,6.6811,5929
1977/1/13,6.6811,6.7659,6.6811,6.7235,5847
1977/1/14,6.7236,6.766,6.7024,6.7448,3516
1977/1/17,6.6599,6.6599,6.5539,6.5963,5724
1977/1/18,6.5963,6.6175,6.5539,6.6175,5806
1977/1/19,6.6175,6.6387,6.5751,6.6387,3353
1977/1/20,6.6387,6.6811,6.5114,6.5963,13493
1977/1/21,6.5963,6.6175,6.5327,6.5963,3271
1977/1/24,6.5963,6.6175,6.5539,6.6175,4089
1977/1/25,6.6175,6.6811,6.6175,6.6599,4252
1977/1/26,6.6387,6.6387,6.5751,6.5963,3884
1977/1/27,6.5963,6.6175,6.5327,6.6175,4498
1977/1/28,6.5963,6.6175,6.5327,6.6175,4498
1977/1/31,6.5963,6.5963,6.5327,6.5539,3066
1977/2/1,6.5539,6.5963,6.5539,6.5963,3434
1977/2/2,6.5963,6.6175,6.5539,6.5539,12225
1977/2/3,6.5539,6.6175,6.4902,6.5539,31728
1977/2/4,6.5538,6.6174,6.5326,6.575,6051
1977/2/7,6.5751,6.6175,6.5539,6.5963,3516
1977/2/8,6.5963,6.6387,6.5751,6.6175,4007
1977/2/9,6.6174,6.6174,6.5538,6.575,2944
1977/2/10,6.575,6.6599,6.575,6.6599,2780
1977/2/11,6.6599,6.6599,6.5963,6.6387,4211
1977/2/14,6.6387,6.6387,6.5963,6.6175,2944
1977/2/15,6.6175,6.6175,6.5751,6.6175,2862
1977/2/16,6.6175,6.6387,6.5751,6.6175,4293
1977/2/17,6.6175,6.6387,6.5963,6.5963,3803
1977/2/18,6.5963,6.6599,6.575,6.6599,4457
1977/2/22,6.6599,6.6599,6.6175,6.6599,2985
1977/2/23,6.6599,6.6811,6.6387,6.6811,7523
1977/2/24,6.6811,6.6811,6.6387,6.6811,13697
1977/2/25,6.6599,6.6599,6.6175,6.6175,3066
1977/2/28,6.6175,6.6599,6.5327,6.5963,5970
1977/3/1,6.5963,6.6599,6.5539,6.6175,8014
1977/3/2,6.6175,6.6811,6.6175,6.6811,6174
1977/3/3,6.6811,6.6811,6.6387,6.6811,11612
1977/3/4,6.6811,6.7235,6.6599,6.7235,7400
1977/3/7,6.7235,6.7447,6.6811,6.7235,3598
1977/3/8,6.7235,6.7659,6.6811,6.6811,7400
1977/3/9,6.6811,6.6811,6.6387,6.6599,3680
1977/3/10,6.6599,6.6811,6.5963,6.6387,4334
1977/3/11,6.6387,6.6811,6.6387,6.6599,4211
1977/3/14,6.6599,6.7023,6.6387,6.7023,4906
