Date,Dividend,Dividend Yield
"11月 03, 2025",0.6,2.42%
"8月 04, 2025",0.6,2.61%
"5月 05, 2025",0.56,3.17%
"2月 03, 2025",0.56,2.75%
"11月 04, 2024",0.56,3.52%
"8月 05, 2024",0.56,3.81%
"5月 03, 2024",0.53,3.44%
"2月 02, 2024",0.53,3.78%
"11月 03, 2023",0.53,5.13%
"8月 04, 2023",0.53,4.59%
"4月 28, 2023",0.51,4.34%
"2月 03, 2023",0.51,3.91%
"11月 04, 2022",0.51,4.58%
"7月 29, 2022",0.51,3.91%
"4月 29, 2022",0.51,4.08%
"2月 04, 2022",0.51,3.13%
"10月 29, 2021",0.51,2.88%
"7月 30, 2021",0.51,2.96%
"4月 30, 2021",0.51,2.76%
"1月 29, 2021",0.51,3.38%
"10月 30, 2020",0.51,4.90%
"7月 31, 2020",0.51,4.01%
"5月 01, 2020",0.51,4.20%
"1月 31, 2020",0.51,2.63%
"11月 01, 2019",0.51,2.84%
"8月 02, 2019",0.51,2.98%
"5月 03, 2019",0.45,2.56%
"2月 01, 2019",0.45,2.79%
"11月 02, 2018",0.45,2.73%
"8月 03, 2018",0.45,2.51%
"5月 04, 2018",0.32,1.88%
"2月 02, 2018",0.32,1.62%
"11月 03, 2017",0.32,1.71%
"8月 03, 2017",0.32,1.84%
"4月 27, 2017",0.16,1.06%
"2月 02, 2017",0.16,1.14%
"11月 03, 2016",0.16,1.32%
"7月 28, 2016",0.16,1.45%
"4月 28, 2016",0.05,0.42%
"1月 28, 2016",0.05,0.49%
