Date,Dividend,Dividend Yield
"12月 02, 2025",4,2.04%
"8月 29, 2025",4,2.13%
"5月 30, 2025",3,1.98%
"2月 28, 2025",3,1.97%
"12月 02, 2024",3,1.97%
"8月 30, 2024",3,2.35%
"5月 30, 2024",2.75,2.41%
"2月 28, 2024",2.75,2.81%
"11月 29, 2023",2.75,3.26%
"8月 30, 2023",2.75,3.31%
"5月 31, 2023",2.5,3.02%
"3月 01, 2023",2.5,2.84%
"11月 30, 2022",2.5,2.61%
"8月 31, 2022",2.5,3.00%
"5月 31, 2022",2,2.43%
"3月 01, 2022",2,2.34%
"12月 01, 2021",2,2.10%
"8月 31, 2021",2,1.93%
"5月 28, 2021",1.25,1.35%
"3月 01, 2021",1.25,1.57%
"12月 01, 2020",1.25,2.17%
"8月 31, 2020",1.25,2.41%
"5月 29, 2020",1.25,2.48%
"2月 28, 2020",1.25,2.43%
"11月 29, 2019",1.25,2.24%
"8月 29, 2019",1.25,2.49%
"5月 29, 2019",0.85,1.79%
"2月 27, 2019",0.8,1.61%
"11月 29, 2018",0.8,1.61%
"8月 29, 2018",0.8,1.32%
"5月 30, 2018",0.8,1.41%
"2月 28, 2018",0.75,1.12%
"11月 29, 2017",0.75,1.25%
"8月 29, 2017",0.75,1.36%
"5月 30, 2017",0.75,1.34%
"2月 28, 2017",0.65,1.04%
"11月 29, 2016",0.65,1.24%
"8月 30, 2016",0.65,1.56%
"5月 27, 2016",0.65,1.63%
"2月 29, 2016",0.65,1.73%
