Date,Open,High,Low,Close,Volume
1993/2/23,3.3453,3.3976,3.2016,3.2408,4243859
1993/2/24,3.2931,3.3715,3.2539,3.3323,985456
1993/2/25,3.3453,3.4107,3.3323,3.4107,546670
1993/2/26,3.4107,3.463,3.3585,3.463,288663
1993/3/1,3.447,3.4602,3.3681,3.3681,317275
1993/3/2,3.3944,3.4733,3.3813,3.4602,318158
1993/3/3,3.4471,3.4997,3.4208,3.4471,295640
1993/3/4,3.4339,3.4733,3.4339,3.4339,187729
1993/3/5,3.4208,3.5129,3.3681,3.4997,407207
1993/3/8,3.4734,3.4997,3.4471,3.4866,264822
1993/3/9,3.4734,3.6312,3.4734,3.5918,257787
1993/3/10,3.5655,3.7497,3.5523,3.7365,336053
1993/3/11,3.776,3.776,3.6971,3.7365,134346
1993/3/12,3.7102,3.8154,3.5786,3.8023,311424
1993/3/15,3.7891,3.7891,3.7102,3.7365,195603
1993/3/16,3.7102,3.7497,3.6445,3.6576,229666
1993/3/17,3.6576,3.6971,3.6182,3.6971,254043
1993/3/18,3.6838,3.8023,3.6838,3.7891,185792
1993/3/19,3.8155,3.8155,3.7497,3.7497,252357
1993/3/22,3.7628,3.7628,3.6971,3.7365,76751
1993/3/23,3.7365,3.7365,3.6576,3.6576,97255
1993/3/24,3.6575,3.6575,3.5128,3.6181,188151
1993/3/25,3.5918,3.6181,3.5392,3.6181,113716
1993/3/26,3.7366,3.855,3.7234,3.855,250171
1993/3/29,3.8286,3.8944,3.7628,3.8944,134052
1993/3/30,3.947,4.0391,3.9075,4.0391,154048
1993/3/31,4.0522,4.1312,4.0259,4.0391,195349
1993/4/1,3.9865,3.9997,3.8681,3.8944,148408
1993/4/2,3.8418,3.9076,3.7497,3.7497,140914
1993/4/5,3.7366,3.8287,3.7366,3.8155,91909
1993/4/6,3.8286,3.8417,3.7628,3.7628,80329
1993/4/7,3.7497,3.8287,3.7497,3.8155,25303
1993/4/8,3.8154,3.8154,3.7891,3.8023,31997
1993/4/12,3.8023,3.8944,3.8023,3.8944,22903
1993/4/13,3.947,4.0391,3.947,4.0128,98685
1993/4/14,4.0128,4.1312,4.0128,4.1181,72583
1993/4/15,4.0654,4.0654,3.8944,3.947,138892
1993/4/16,3.9733,3.9997,3.9207,3.9339,152871
1993/4/19,3.9076,3.9339,3.8287,3.8418,90688
1993/4/20,3.8813,3.9076,3.6445,3.7234,290924
1993/4/21,3.7234,3.7761,3.6708,3.6708,144494
1993/4/22,3.6708,3.7366,3.6576,3.6708,146052
1993/4/23,3.6575,3.6707,3.5786,3.6181,69509
1993/4/26,3.6313,3.6576,3.4997,3.5392,194426
1993/4/27,3.4997,3.5786,3.4339,3.5786,176193
1993/4/28,3.6049,3.6575,3.5655,3.6444,76498
1993/4/29,3.6445,3.6708,3.6313,3.6313,24082
1993/4/30,3.6444,4.1049,3.6444,4.0786,326877
1993/5/3,3.9997,3.9997,3.8418,3.8681,210635
1993/5/4,3.8944,3.9207,3.855,3.8944,86940
1993/5/5,3.8813,3.8813,3.8418,3.855,53891
1993/5/6,3.8549,3.8549,3.7891,3.8286,19282
1993/5/7,3.8418,3.8681,3.8287,3.8418,25808
1993/5/10,3.855,3.9207,3.855,3.8944,74604
1993/5/11,3.8944,3.8944,3.8418,3.8813,59869
1993/5/12,3.8813,3.9076,3.855,3.8813,27156
1993/5/13,3.8549,3.8549,3.7891,3.7891,17177
1993/5/14,3.776,3.776,3.6181,3.6839,89256
1993/5/17,3.6839,3.776,3.6708,3.7497,40207
1993/5/18,3.7365,3.7365,3.6708,3.7102,93002
1993/5/19,3.6971,3.776,3.6971,3.7497,54185
1993/5/20,3.776,3.776,3.6576,3.6839,98602
