Date,Dividend,Dividend Yield
"10月 31, 2025",1,2.44%
"7月 31, 2025",1,2.76%
"4月 30, 2025",0.93,3.18%
"1月 31, 2025",0.93,2.64%
"10月 31, 2024",0.93,3.14%
"7月 31, 2024",0.93,3.57%
"4月 29, 2024",0.85,3.66%
"1月 30, 2024",0.85,3.88%
"10月 30, 2023",0.85,4.83%
"7月 28, 2023",0.85,3.67%
"4月 28, 2023",0.78,3.43%
"1月 30, 2023",0.78,3.20%
"10月 28, 2022",0.78,3.84%
"7月 28, 2022",0.78,3.76%
"4月 28, 2022",0.7,3.41%
"1月 28, 2022",0.7,2.77%
"10月 28, 2021",0.7,2.75%
"7月 29, 2021",0.7,2.91%
"4月 29, 2021",0.35,1.69%
"1月 28, 2021",0.35,2.05%
"10月 29, 2020",0.35,2.94%
"7月 30, 2020",0.35,2.77%
"4月 29, 2020",0.35,3.49%
"1月 30, 2020",0.35,2.61%
"10月 30, 2019",0.35,2.99%
"7月 30, 2019",0.35,3.10%
"4月 29, 2019",0.3,2.51%
"1月 30, 2019",0.3,2.82%
"10月 30, 2018",0.3,2.73%
"7月 30, 2018",0.3,2.35%
"4月 27, 2018",0.25,1.92%
"1月 30, 2018",0.25,1.74%
"10月 30, 2017",0.25,1.95%
"7月 27, 2017",0.25,2.12%
"4月 27, 2017",0.2,1.80%
"1月 27, 2017",0.2,1.82%
"10月 27, 2016",0.2,2.38%
"7月 27, 2016",0.2,2.74%
"4月 27, 2016",0.15,2.18%
"1月 27, 2016",0.15,2.35%
