Date,Open,High,Low,Close,Volume
1972/6/1,0.1389,0.1393,0.1389,0.1389,821
1972/6/2,0.1393,0.1405,0.1393,0.1393,568
1972/6/5,0.1393,0.1414,0.1389,0.1414,994
1972/6/6,0.1414,0.1439,0.141,0.1414,647
1972/6/7,0.1413,0.1413,0.1401,0.1401,158
1972/6/8,0.1401,0.1413,0.1397,0.1405,473
1972/6/9,0.1405,0.1413,0.1397,0.1405,142
1972/6/12,0.1414,0.1422,0.1414,0.1422,79
1972/6/13,0.1418,0.1418,0.1397,0.1397,252
1972/6/14,0.1397,0.1405,0.1397,0.1397,805
1972/6/15,0.1406,0.141,0.1406,0.141,679
1972/6/16,0.141,0.1422,0.141,0.1422,158
1972/6/19,0.1414,0.1414,0.141,0.141,300
1972/6/20,0.141,0.1414,0.141,0.1414,47
1972/6/21,0.1414,0.1414,0.141,0.141,158
1972/6/22,0.141,0.1422,0.1406,0.1422,284
1972/6/23,0.1431,0.1443,0.1431,0.1443,316
1972/6/26,0.1443,0.1447,0.1431,0.1447,205
1972/6/27,0.1455,0.1463,0.1455,0.1455,221
1972/6/28,0.1467,0.1496,0.1467,0.1496,473
1972/6/29,0.1492,0.1492,0.1492,0.1492,95
1972/6/30,0.1496,0.1512,0.1496,0.1512,237
1972/7/3,0.1512,0.1537,0.1512,0.1537,189
1972/7/5,0.1538,0.1538,0.1521,0.1521,695
1972/7/6,0.1529,0.1595,0.1529,0.1595,837
1972/7/7,0.1595,0.1619,0.1595,0.1603,1357
1972/7/10,0.1603,0.1611,0.1595,0.1611,0
1972/7/11,0.1611,0.1615,0.1603,0.1611,9548
1972/7/12,0.1611,0.1619,0.1611,0.1611,852
1972/7/13,0.1611,0.1628,0.1611,0.1628,742
1972/7/14,0.1628,0.1628,0.1616,0.1628,568
1972/7/17,0.1628,0.1632,0.162,0.1632,205
1972/7/18,0.1632,0.1644,0.1624,0.1636,726
1972/7/19,0.1636,0.1644,0.1628,0.1644,79
1972/7/20,0.1644,0.1644,0.1632,0.164,253
1972/7/21,0.164,0.1652,0.164,0.1652,899
1972/7/24,0.1652,0.1652,0.1644,0.1648,742
1972/7/25,0.1648,0.1668,0.1648,0.1664,915
1972/7/26,0.1669,0.1673,0.1669,0.1673,284
1972/7/27,0.1673,0.1673,0.1644,0.1644,1704
1972/7/28,0.1652,0.166,0.1652,0.1656,221
1972/7/31,0.1669,0.1669,0.1661,0.1669,286
1972/8/1,0.1668,0.1697,0.166,0.1689,874
1972/8/2,0.1689,0.1714,0.1681,0.1706,700
1972/8/3,0.1706,0.1714,0.1689,0.1714,874
1972/8/4,0.1723,0.1739,0.1723,0.1731,2258
1972/8/7,0.1747,0.1755,0.1747,0.1751,683
1972/8/8,0.1751,0.1751,0.1747,0.1747,1812
1972/8/9,0.1747,0.1756,0.1739,0.1739,811
1972/8/10,0.1748,0.1756,0.1748,0.1756,509
1972/8/11,0.1756,0.1756,0.1752,0.1756,286
1972/8/14,0.1756,0.1772,0.1756,0.1764,413
1972/8/15,0.1772,0.1788,0.1772,0.1776,397
1972/8/16,0.1789,0.1805,0.1789,0.1797,270
1972/8/17,0.1801,0.1805,0.1801,0.1801,223
1972/8/18,0.1822,0.1847,0.1822,0.1834,1065
1972/8/21,0.1835,0.1843,0.1835,0.1843,64
1972/8/22,0.1847,0.1872,0.1847,0.1872,1161
1972/8/23,0.1872,0.188,0.1863,0.188,588
1972/8/24,0.188,0.1888,0.188,0.1888,238
1972/8/25,0.1884,0.1884,0.1872,0.1876,811
1972/8/28,0.1875,0.1879,0.1867,0.1867,270
1972/8/29,0.1863,0.1863,0.1863,0.1863,175
1972/8/30,0.1863,0.1867,0.1855,0.1855,302
1972/8/31,0.1859,0.1863,0.1859,0.1859,111
1972/9/1,0.1859,0.1867,0.1859,0.1867,159
1972/9/5,0.1867,0.1871,0.1859,0.1859,572
1972/9/6,0.1855,0.1855,0.1847,0.1851,334
1972/9/7,0.1843,0.1843,0.183,0.183,111
