Date,Dividend,Dividend Yield
"8月 08, 2025",0.45,2.34%
"5月 09, 2025",0.4,2.18%
"2月 07, 2025",0.4,1.97%
"11月 08, 2024",0.4,2.29%
"8月 09, 2024",0.4,3.03%
"5月 09, 2024",0.35,2.29%
"2月 01, 2024",0.35,2.79%
"11月 02, 2023",0.35,3.53%
"8月 03, 2023",0.35,3.10%
"5月 04, 2023",0.3,3.10%
"2月 02, 2023",0.3,2.54%
"11月 03, 2022",0.3,2.56%
"8月 04, 2022",0.3,2.73%
"5月 05, 2022",0.25,2.17%
"2月 03, 2022",0.25,1.79%
"11月 04, 2021",0.2,1.54%
"8月 05, 2021",0.2,1.73%
"5月 06, 2021",0.1,0.87%
"2月 04, 2021",0.1,1.26%
"11月 05, 2020",0.1,1.83%
"8月 06, 2020",0.1,1.64%
"5月 07, 2020",0.51,7.97%
"2月 06, 2020",0.51,4.22%
"11月 07, 2019",0.51,3.79%
"8月 08, 2019",0.51,4.45%
"5月 09, 2019",0.45,3.83%
"1月 31, 2019",0.45,3.59%
"11月 08, 2018",0.43,3.21%
"8月 09, 2018",0.43,2.91%
"5月 03, 2018",0.39,2.99%
"2月 01, 2018",0.39,2.37%
"11月 02, 2017",0.39,2.78%
"8月 02, 2017",0.39,2.88%
"5月 03, 2017",0.38,2.79%
"2月 01, 2017",0.38,2.70%
"11月 02, 2016",0.38,3.31%
"8月 03, 2016",0.38,3.19%
"5月 04, 2016",0.38,3.04%
"2月 03, 2016",0.38,3.07%
